nokta_no,boylam,enlem,yukseklik_m,litoloji,tabaka_dogrultu_derece,tabaka_egim_derece,ornek_alindi,model_yukseklik_m,fark_m
N-001,29.08727,37.755471,1041.4,andezit,190,46,False,879.0,162.4
N-002,29.375357,37.70854,433.6,marn,252,74,True,356.5,77.1
N-003,29.265997,37.931495,577.8,kirectasi,160,19,True,429.5,148.3
N-004,29.199329,37.742701,1017.7,andezit,255,58,False,950.7,67.0
N-005,28.978009,37.712374,551.5,andezit,322,64,False,486.9,64.6
N-006,28.977997,37.817078,612.5,marn,127,12,False,457.4,155.1
N-007,28.929042,37.65637,428.1,kirectasi,17,57,False,352.5,75.6
N-008,29.333088,37.920879,471.7,marn,280,64,False,404.1,67.6
N-009,29.200558,37.62982,529.5,kirectasi,222,9,False,503.2,26.3
N-010,29.254036,37.994755,461.8,alüvyon,53,72,False,328.1,133.7
N-011,28.910292,37.908898,414.4,kumtasi,57,10,False,346.4,68.0
N-012,29.384955,37.679486,395.5,kumtasi,322,51,False,428.1,-32.6
N-013,29.316221,37.602209,425.5,kumtasi,359,59,False,444.2,-18.7
N-014,29.00617,37.926185,560.5,marn,173,44,False,787.1,-226.6
N-015,28.990912,37.882743,655.7,alüvyon,279,56,False,596.6,59.1
N-016,28.991702,37.891603,576.0,kirectasi,113,20,True,593.1,-17.1
N-017,29.052121,37.908508,719.7,andezit,287,17,False,979.1,-259.4
N-018,29.162378,37.629618,606.2,kirectasi,341,34,False,457.4,148.8
N-019,29.115973,37.743386,1046.9,andezit,150,23,False,952.7,94.2
N-020,29.045615,37.646348,559.3,kirectasi,126,21,False,403.8,155.5
N-021,29.205926,37.945241,670.5,alüvyon,154,67,False,480.8,189.7
N-022,28.969747,37.849319,655.5,andezit,272,23,True,444.0,211.5
N-023,29.046072,37.732359,809.5,marn,103,62,True,578.5,231.0
N-024,29.083181,37.625423,568.9,kirectasi,298,59,True,433.9,135.0
N-025,29.128035,37.724393,1058.8,kirectasi,245,66,True,834.8,224.0
N-026,29.292588,37.730073,608.3,andezit,175,27,True,590.0,18.3
N-027,28.999837,37.891842,636.9,marn,38,13,False,630.4,6.5
N-028,29.157117,37.855023,1201.7,marn,169,16,True,994.8,206.9
N-029,29.196207,37.954885,675.4,alüvyon,246,5,False,457.3,218.1
N-030,28.923225,37.788886,432.0,marn,25,62,True,349.4,82.6
N-031,29.203772,37.647838,700.8,marn,354,5,False,548.9,151.9
N-032,28.985262,37.885298,505.0,marn,305,38,True,575.8,-70.8
N-033,28.932526,37.904314,472.6,kumtasi,12,52,True,417.0,55.6
N-034,29.374443,37.824511,558.0,alüvyon,315,5,False,449.9,108.1
N-035,29.382816,37.908387,393.7,kirectasi,312,20,False,386.4,7.3
N-036,29.304199,37.797518,651.4,andezit,35,65,True,474.5,176.9
N-037,29.052307,37.809093,960.2,kirectasi,172,68,False,790.5,169.7
N-038,28.948836,37.771016,494.0,alüvyon,19,67,True,469.9,24.1
N-039,29.242117,37.610168,435.1,andezit,320,73,False,447.7,-12.6
N-040,29.120076,37.643157,654.3,alüvyon,263,26,False,484.5,169.8
N-041,28.961019,37.612572,383.6,marn,141,71,False,398.5,-14.9
N-042,29.147588,37.854564,1194.2,andezit,142,80,False,1037.1,157.1
N-043,28.917194,37.725742,408.7,marn,91,30,False,414.9,-6.2
N-044,29.35466,37.803428,572.8,kirectasi,353,20,False,433.3,139.5
N-045,29.02939,37.963027,483.8,kirectasi,321,55,False,686.0,-202.2
N-046,29.231261,37.699717,778.4,andezit,287,61,True,607.7,170.7
N-047,29.055856,37.764153,974.4,andezit,214,33,True,703.4,271.0
N-048,29.160034,37.90222,881.8,alüvyon,341,82,False,582.6,299.2
N-049,29.173355,37.691519,895.3,alüvyon,50,73,False,653.0,242.3
N-050,28.992427,37.630792,514.4,marn,152,51,False,422.0,92.4
N-051,29.384792,37.715901,375.8,andezit,185,66,True,400.9,-25.1
N-052,29.287566,37.664489,546.9,kirectasi,62,73,False,718.8,-171.9
N-053,29.369749,37.971879,428.8,alüvyon,189,80,False,445.3,-16.5
N-054,29.347414,37.923248,491.3,alüvyon,124,20,True,420.1,71.2
N-055,29.19895,37.853362,1043.0,kirectasi,149,52,True,898.5,144.5
N-056,29.360937,37.948584,379.4,alüvyon,313,43,False,379.0,0.4
N-057,28.944246,37.921469,472.7,marn,57,37,False,522.6,-49.9
N-058,28.997991,37.674628,541.1,andezit,341,27,True,384.8,156.3
N-059,28.922614,37.957024,429.8,kirectasi,304,14,True,394.0,35.8
N-060,29.062665,37.815737,1020.9,andezit,179,73,True,880.6,140.3
